File Path	chrom://pc-9x9lfs2/ChromeleonLocal/Instrument Data/ICS-6000/Sequence/MD18-Full.seq/155.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	D-St9
Injection Number	6
Position	BA5
Comment	
Processing Method	Processing
Instrument Method	Starches_Martens et al. 2018
Type	Unknown
Status	Finished
Injection Date	29-1-2020
Injection Time	00:37:52
Injection Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	70.000000
Data Points	8401
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1.513650
Signal Max.	362.192705
Channel	ED_1
Driver Name	DC-6000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	-0.012800
0.008333	0.5	-0.009050
0.016667	0.5	-0.005050
0.025000	0.5	-0.005400
0.033333	0.5	-0.003850
0.041667	0.5	-0.003500
0.050000	0.5	-0.000450
0.058333	0.5	-0.002950
0.066667	0.5	-0.003850
0.075000	0.5	-0.002850
0.083333	0.5	-0.004450
0.091667	0.5	-0.002050
0.100000	0.5	-0.003150
0.108333	0.5	-0.001500
0.116667	0.5	-0.000550
0.125000	0.5	0.000650
0.133333	0.5	0.003000
0.141667	0.5	-0.000250
0.150000	0.5	-0.000300
0.158333	0.5	-0.000400
0.166667	0.5	0.000350
0.175000	0.5	0.002350
0.183333	0.5	0.001250
0.191667	0.5	0.000300
0.200000	0.5	0.001050
0.208333	0.5	-0.002400
0.216667	0.5	-0.002100
0.225000	0.5	-0.000250
0.233333	0.5	-0.000850
0.241667	0.5	-0.003050
0.250000	0.5	-0.001400
0.258333	0.5	0.000500
0.266667	0.5	-0.000050
0.275000	0.5	-0.002150
0.283333	0.5	-0.002650
0.291667	0.5	-0.000500
0.300000	0.5	0.002500
0.308333	0.5	0.000800
0.316667	0.5	0.000900
0.325000	0.5	-0.001250
0.333333	0.5	-0.002050
0.341667	0.5	-0.001550
0.350000	0.5	-0.002000
0.358333	0.5	0.001300
0.366667	0.5	-0.000350
0.375000	0.5	0.002300
0.383333	0.5	0.001950
0.391667	0.5	0.003650
0.400000	0.5	0.004400
0.408333	0.5	0.003200
0.416667	0.5	0.001800
0.425000	0.5	0.001050
0.433333	0.5	0.002350
0.441667	0.5	0.002550
0.450000	0.5	0.000650
0.458333	0.5	0.001300
0.466667	0.5	0.000250
0.475000	0.5	-0.001900
0.483333	0.5	-0.001900
0.491667	0.5	-0.002200
0.500000	0.5	0.001450
0.508333	0.5	0.000100
0.516667	0.5	0.000600
0.525000	0.5	-0.002900
0.533333	0.5	-0.000200
0.541667	0.5	0.000100
0.550000	0.5	0.000900
0.558333	0.5	0.002700
0.566667	0.5	0.000750
0.575000	0.5	-0.000300
0.583333	0.5	0.000300
0.591667	0.5	0.001450
0.600000	0.5	0.000800
0.608333	0.5	-0.000050
0.616667	0.5	0.000050
0.625000	0.5	0.004550
0.633333	0.5	0.002500
0.641667	0.5	0.003500
0.650000	0.5	0.003350
0.658333	0.5	0.003500
0.666667	0.5	0.004350
0.675000	0.5	0.002250
0.683333	0.5	0.001700
0.691667	0.5	0.002350
0.700000	0.5	0.002350
0.708333	0.5	0.002050
0.716667	0.5	0.000150
0.725000	0.5	0.000550
0.733333	0.5	0.001000
0.741667	0.5	0.000450
0.750000	0.5	0.000800
0.758333	0.5	0.000750
0.766667	0.5	0.001200
0.775000	0.5	0.000750
0.783333	0.5	0.001850
0.791667	0.5	0.001300
0.800000	0.5	0.001750
0.808333	0.5	0.001550
0.816667	0.5	0.002500
0.825000	0.5	0.003150
0.833333	0.5	0.000400
0.841667	0.5	0.001250
0.850000	0.5	-0.000700
0.858333	0.5	0.000600
0.866667	0.5	0.002050
0.875000	0.5	0.003200
0.883333	0.5	0.002850
0.891667	0.5	0.003550
0.900000	0.5	0.004100
0.908333	0.5	0.005000
0.916667	0.5	0.004050
0.925000	0.5	0.002200
0.933333	0.5	0.005350
0.941667	0.5	0.005300
0.950000	0.5	0.005800
0.958333	0.5	0.004250
0.966667	0.5	0.004400
0.975000	0.5	0.002550
0.983333	0.5	-0.000800
0.991667	0.5	0.000750
1.000000	0.5	-0.000200
1.008333	0.5	-0.000950
1.016667	0.5	0.000200
1.025000	0.5	-0.001350
1.033333	0.5	0.001000
1.041667	0.5	0.001050
1.050000	0.5	0.000050
1.058333	0.5	0.000250
1.066667	0.5	0.002100
1.075000	0.5	0.002950
1.083333	0.5	-0.000600
1.091667	0.5	0.001550
1.100000	0.5	-0.000750
1.108333	0.5	0.000300
1.116667	0.5	-0.000350
1.125000	0.5	-0.000300
1.133333	0.5	0.003000
1.141667	0.5	0.002850
1.150000	0.5	0.002850
1.158333	0.5	0.004250
1.166667	0.5	0.003850
1.175000	0.5	0.003800
1.183333	0.5	0.003600
1.191667	0.5	0.002950
1.200000	0.5	0.003750
1.208333	0.5	0.003050
1.216667	0.5	0.003000
1.225000	0.5	0.001350
1.233333	0.5	0.001850
1.241667	0.5	0.002200
1.250000	0.5	0.000800
1.258333	0.5	-0.004500
1.266667	0.5	-0.051700
1.275000	0.5	-0.336350
1.283333	0.5	-1.084700
1.291667	0.5	-1.513650
1.300000	0.5	-0.787450
1.308333	0.5	0.698850
1.316667	0.5	2.119200
1.325000	0.5	2.887100
1.333333	0.5	2.932250
1.341667	0.5	2.535950
1.350000	0.5	1.993400
1.358333	0.5	1.472400
1.366667	0.5	1.038400
1.375000	0.5	0.703900
1.383333	0.5	0.461900
1.391667	0.5	0.298950
1.400000	0.5	0.199250
1.408333	0.5	0.165650
1.416667	0.5	0.197050
1.425000	0.5	0.294100
1.433333	0.5	0.436650
1.441667	0.5	0.595350
1.450000	0.5	0.731550
1.458333	0.5	0.833750
1.466667	0.5	0.911700
1.475000	0.5	1.003200
1.483333	0.5	1.155300
1.491667	0.5	1.382600
1.500000	0.5	1.655250
1.508333	0.5	1.882900
1.516667	0.5	1.988350
1.525000	0.5	1.943250
1.533333	0.5	1.772300
1.541667	0.5	1.537000
1.550000	0.5	1.292150
1.558333	0.5	1.071700
1.566667	0.5	0.888350
1.575000	0.5	0.738750
1.583333	0.5	0.613400
